Date;Open;High;Low;Close;Adj Close;Volume
2014-01-03;1151.76;1157.76;1151.22;1156.09;1156.09;2774270000
2014-01-02;1160.5;1160.5;1146.6;1150.72;1150.72;3080600000
2013-12-31;1160.64;1165.64;1160.64;1163.64;1163.64;2312840000
2013-12-30;1160.63;1162.6;1158.86;1160.59;1160.59;2293860000
2013-12-27;1165.39;1165.85;1157.73;1161.09;1161.09;2052920000
2013-12-26;1161.85;1167.96;1161.41;1162.65;1162.65;1982270000
2013-12-24;1157.65;1163.67;1157.44;1161.8;1161.8;1307630000
2013-12-23;1151.39;1157.34;1151.04;1157.22;1157.22;2851540000
2013-12-20;1127.85;1147.12;1127.65;1146.47;1146.47;5097700000
2013-12-19;1131.23;1131.67;1124.93;1125.45;1125.45;3497210000
2013-12-18;1120.15;1133.76;1112.03;1133.72;1133.72;4327770000
2013-12-17;1119.4;1120.26;1112.61;1118.89;1118.89;3270030000
2013-12-16;1110.58;1120.17;1110.43;1119.85;1119.85;3209890000
2013-12-13;1105.99;1109.51;1100.77;1107.05;1107.05;3061070000
2013-12-12;1101.4;1107.18;1099.67;1103.27;1103.27;3306640000
2013-12-11;1119.82;1120.92;1099.74;1101.5;1101.5;3472240000
2013-12-10;1128.02;1131.26;1119.33;1119.69;1119.69;3117150000
2013-12-09;1132.9;1134.18;1126.38;1129.46;1129.46;3129500000
2013-12-06;1122.48;1135.88;1122.48;1131.38;1131.38;3150030000
2013-12-05;1120.8;1125.61;1119.76;1122.47;1122.47;3336880000
2013-12-05;1120.8;1125.61;1119.76;1122.47;1122.47;3336880000
2013-12-04;1123.79;1128.97;1111.63;1121.38;1121.38;3610540000
2013-12-03;1125.95;1130.97;1119.68;1123.78;1123.78;3475680000
2013-12-02;1142.3;1142.3;1127.72;1129.12;1129.12;3095430000
2013-11-29;1145.83;1147;1142.52;1142.89;1142.89;1598300000
2013-11-27;1135.63;1141.5;1134.13;1141.33;1141.33;2613590000
2013-11-26;1125.45;1136.24;1124.98;1134.53;1134.53;3427120000
2013-11-25;1126.85;1128.52;1123.1;1124.72;1124.72;2998540000
2013-11-22;1120.91;1125.64;1117.56;1124.92;1124.92;3055140000
2013-11-21;1103.38;1119.67;1103.38;1119.62;1119.62;3256630000
2013-11-20;1104.04;1107.7;1096.46;1099.79;1099.79;3109140000
2013-11-19;1107.3;1112.39;1097.53;1101.38;1101.38;3224450000
2013-11-18;1118.4;1119.98;1105.22;1107.29;1107.29;3168520000
2013-11-15;1111.39;1116.31;1109.72;1116.2;1116.2;3254820000
2013-11-14;1111.41;1112.22;1105.57;1111.44;1111.44;3139060000
2013-11-13;1096.54;1112.22;1095.69;1112.18;1112.18;3327480000
2013-11-12;1099.26;1101.52;1095.36;1101.47;1101.47;3221030000
2013-11-11;1099.76;1102.86;1096.33;1101.5;1101.5;2534060000
2013-11-08;1079.95;1101.19;1079.95;1099.97;1099.97;3837170000
2013-11-07;1102.34;1103.77;1079.08;1079.09;1079.09;4024730000
2013-11-06;1108.75;1109.83;1097.2;1098.63;1098.63;3322100000
2013-11-05;1105.23;1106.09;1097.44;1103.59;1103.59;3516680000
2013-11-04;1098.62;1108.86;1098.35;1108.28;1108.28;3194870000
2013-11-01;1099.09;1101.3;1087.09;1095.67;1095.67;3686290000
2013-10-31;1106.09;1108.6;1097.84;1100.15;1100.15;3826530000
2013-10-30;1122.81;1123.26;1104.15;1105.5;1105.5;3523040000
2013-10-29;1118.86;1122.64;1114.78;1121.07;1121.07;3358460000
2013-10-28;1118.33;1119.56;1113.02;1117.97;1117.97;3282300000
2013-10-25;1121.1;1121.92;1114.25;1118.34;1118.34;3175720000
2013-10-24;1112.69;1120;1111.68;1118.85;1118.85;3671700000
2013-10-23;1111.49;1112.09;1105.35;1110.93;1110.93;3713380000
2013-10-22;1115.42;1121.53;1111.93;1115.63;1115.63;3850840000
2013-10-21;1115.66;1117.32;1110.84;1112.48;1112.48;3052710000
2013-10-18;1109.3;1115.04;1105.91;1114.77;1114.77;3664890000
2013-10-17;1088.99;1102.28;1088.61;1102.27;1102.27;3453590000
2013-10-16;1085.01;1092.91;1085.01;1092.42;1092.42;3483180000
2013-10-15;1088.05;1088.53;1077.69;1079.62;1079.62;3327740000
2013-10-14;1078.73;1090.3;1076.49;1090.3;1090.3;2580580000
2013-10-11;1066.09;1084.32;1065.81;1084.31;1084.31;2944670000
2013-10-10;1052.5;1069.77;1052.5;1069.5;1069.5;3345660000
2013-10-09;1050.02;1050.08;1037.86;1043.46;1043.46;3577840000
2013-10-08;1066.16;1067.21;1047.26;1047.26;1047.26;3569230000
2013-10-07;1071.24;1073.42;1065.78;1065.79;1065.79;2678490000
2013-10-04;1069.64;1080.74;1069.64;1078.25;1078.25;2880270000
2013-10-03;1081.19;1081.79;1064.87;1070.9;1070.9;3279650000
2013-10-02;1087.39;1087.39;1077.9;1082.55;1082.55;3148600000
2013-10-01;1073.69;1087.78;1073.47;1087.43;1087.43;3238690000
2013-09-30;1065.67;1075.49;1061.79;1073.79;1073.79;3308630000
